,Compound.Name,F1,F2,F3,F4,F5,F6,F7,F8,,best_corr,cluster,BlobID,Library.Name,Library.Match.Factor,Library.Reverse.Match.Factor,Compound.Name_ES,Library.Match.Factor_ES,Library.Reverse.Match.Factor_ES,LRI.I,Library.RI_ES,Compound.Name_NISTmain,Library.Match.Factor_NISTmain,Library.Reverse.Match.Factor_NISTmain,Library.RI_NISTmain,Library.Formula_NISTmain,Library.Molecular.Weight_NISTmain,Benzothiazole,Thiol,Library.Reverse.Match.Factor_chamber,Library.RI_chamber,Identifiable,tic
55,20200803_0949_blob_794_,0.712606413,-0.837712317,0.192868046,-0.463112646,-0.505790946,0.09299195,-0.790920567,-0.333775188,0.712606413,F1,NA,794,caice_ssa_final_0805_0949,999,999,NA,NA,NA,2167.692308,NA,"Methyl 1,2-diphenyl-3-hydroxy-cyclopropene-3-carboxylate",600,803,NA,C17H14O3,266,NA,NA,NA,NA,NA,1
56,20200803_0949_blob_796_,0.385524996,-0.558156013,0.434892042,-0.169121729,-0.372699485,0.02235081,-0.496979053,-0.466841354,0.434892042,F3,NA,796,caice_ssa_final_0805_0949,999,999,NA,NA,NA,2463.636364,NA,"Thiourea, 1-(2-chlorophenyl)-3-(pyridin-3-yl)-",635,672,NA,C12H10ClN3S,263,NA,NA,NA,NA,NA,1
57,20200803_0949_blob_800_,0.308351904,-0.424920307,0.505711274,-0.170183224,-0.267929753,-0.034116386,-0.395281402,-0.503818497,0.505711274,F3,NA,800,caice_ssa_final_0805_0949,999,999,NA,NA,NA,2349.579832,NA,"Benzoic acid, tridecyl ester",777,844,2340,C20H32O2,304,NA,NA,NA,NA,NA,1
58,20200803_0949_blob_805_,-0.535941019,0.475723015,0.378032796,0.918922288,-0.236022071,0.193426869,0.023169645,-0.363219316,0.918922288,F4,NA,805,caice_ssa_final_0805_0949,999,999,NA,NA,NA,2268.907563,NA,"2-methylidene-6,10,14-trimethylpen2-methylidene-6,10,14-trimethylpentadecanoic acid silylated",617,664,NA,C22H44O2Si,368,NA,NA,NA,NA,NA,1
59,20200803_0949_blob_814_,-0.328700087,0.241730795,-0.009563935,0.093307327,-0.138940295,-0.081465015,0.130145899,-0.041713207,0.241730795,F2,NA,814,caice_ssa_final_0805_0949,999,999,NA,NA,NA,1969.014085,NA,"Anthacene, 1,2,3,4,6,7,8,9-octahydro-2,2,5-trimethyl-",605,639,NA,C17H24,228,NA,NA,NA,NA,NA,1
60,20200803_0949_blob_816_,0.532046389,-0.604024779,0.497303353,-0.377108309,-0.239738202,-0.057830035,-0.427703483,-0.280207304,0.532046389,F1,NA,816,caice_ssa_final_0805_0949,999,999,NA,NA,NA,2278.991597,NA,"1H-2,8a-Methanocyclopenta[a]cyclopropa[e]cyclodecen-11-one, 1a,2,5,5a,6,9,10,10a-octahydro-5,5a,6-trihydroxy-1,4-bis(hydroxymethyl)-1,7,9-trimethyl-, [1S-(1<e4><U+0096>,1a<e4><U+0096>,2<e4><U+0096>,5??,5a??,6??,8a<e4><U+0096>,9<e4><U+0096>,10a<e4><U+0096>)]-",580,595,NA,C20H28O6,364,NA,NA,NA,NA,NA,1
61,20200803_0949_blob_822_,-0.37015157,0.376482596,0.010357588,0.63278071,-0.101226357,0.059087988,0.124634509,-0.032559215,0.63278071,F4,NA,822,caice_ssa_final_0805_0949,999,999,NA,NA,NA,2176.923077,NA,"Heptadecanoic acid, TMS derivative",714,839,2146,C20H42O2Si,342,NA,NA,NA,NA,NA,1
62,20200803_0949_blob_829_,0.346359993,-0.546338174,0.280483906,0.071398426,-0.618359622,0.037657225,-0.704239965,-0.586678011,0.346359993,F1,NA,829,caice_ssa_final_0805_0949,999,999,NA,NA,NA,1857.746479,NA,"Octasiloxane, 1,1,3,3,5,5,7,7,9,9,11,11,13,13,15,15-hexadecamethyl-",574,669,NA,C16H50O7Si8,578,NA,NA,NA,NA,NA,1
63,20200803_0949_blob_831_,0.122709027,-0.356832152,0.560042647,0.434786649,-0.753401032,0.211514635,-0.706608503,-0.710679224,0.560042647,F3,NA,831,caice_ssa_final_0805_0949,999,999,NA,NA,NA,1895.774648,NA,"3-Methyl-6,7-benzoisoquinoline",700,785,NA,C14H11N,193,NA,NA,NA,NA,NA,1
64,20200803_0949_blob_835_,0.741828883,-0.799068421,-0.001605651,-0.653641363,-0.363668944,0.004895673,-0.588648566,0.009678035,0.741828883,F1,NA,835,caice_ssa_final_0805_0949,999,999,NA,NA,NA,2175.384615,NA,"Octasiloxane, 1,1,3,3,5,5,7,7,9,9,11,11,13,13,15,15-hexadecamethyl-",621,662,NA,C16H50O7Si8,578,NA,NA,NA,NA,NA,1
