Compound.Name,F1,F2,F3,F4,F5,F6,F7,F8,best_corr,cluster_assigned,cluster_assigned_btz
20200803_1535_blob_1120_,-0.749330138,0.838436232,-0.283945495,0.604340502,0.247408508,0.778956983,-0.173305353,0.192487249,F2,2,2
20200803_1535_blob_1122_,-0.819764267,0.883413116,-0.37487128,0.532546804,0.281616884,0.829155241,-0.206828439,0.261976501,F2,2,2
20200803_1535_blob_1123_,-0.817109661,0.817371657,0.09876051,0.605467883,0.653922374,0.373715342,0.075568021,-0.205263489,F2,2,2
20200803_1535_blob_1124_oil,-0.520539944,0.667573772,-0.269497708,0.555956504,0.105608121,0.836300732,-0.162166306,0.285303745,F6,6,6
20200803_1535_blob_1125_,-0.842848214,0.939633585,-0.27805476,0.577719949,0.355183379,0.79297999,-0.116009964,0.267922722,F2,2,2
20200803_1535_blob_1130_,-0.682529724,0.81247323,-0.118034451,0.492938657,0.359979424,0.543447304,0.05809995,0.284707876,F2,2,2
20200803_1535_blob_1131_,-0.795877384,0.873401383,-0.091482834,0.3822837,0.511944039,0.580467388,-0.036690066,0.225006757,F2,2,2
20200803_1535_blob_1134_,-0.78964316,0.933630578,-0.247381171,0.448287446,0.438931266,0.733282947,-0.060112343,0.351546942,F2,2,2
20200803_1535_blob_1136_,-0.60093983,0.715029103,0.087793593,0.081685401,0.731809636,0.318702778,0.059003946,0.078519994,F5,5,5
20200803_1535_blob_1139_,-0.813485195,0.822293211,0.176701898,0.491102639,0.787055092,0.252868709,0.136313878,-0.244108303,F2,2,2
20200803_1535_blob_1140_,-0.832420046,0.926142813,-0.229010308,0.568959234,0.394652927,0.771805586,-0.144105467,0.245081934,F2,2,2
20200803_1535_blob_1141_,-0.741219042,0.818402712,-0.116616222,0.690559821,0.410040476,0.73280191,-0.020700457,0.08631228,F2,2,2
20200803_1535_blob_1145_oil,-0.588241596,0.744543809,-0.442505997,0.518858687,-0.011233225,0.930542724,-0.180323688,0.562926388,F6,6,6
20200803_1535_blob_1148_oil,-0.675842803,0.794436633,-0.390866018,0.378583458,0.151170351,0.704179695,-0.121309258,0.476321407,F2,2,2
20200803_1535_blob_1149_,-0.868482582,0.951300839,-0.090530982,0.449184545,0.675129843,0.540516805,0.00766754,0.042282645,F2,2,2
20200803_1535_blob_1150_,-0.692760372,0.854366499,-0.326906192,0.452547143,0.256453738,0.860974696,-0.138770842,0.451000873,F6,6,6
20200803_1535_blob_1153_,-0.823550207,0.853776559,0.04632713,0.38122475,0.694778275,0.283243128,0.10152642,-0.044950035,F2,2,2
20200803_1535_blob_1154_,-0.693985035,0.768769691,-0.194052179,0.285648631,0.472378596,0.403952026,0.020976542,0.190577667,F2,2,2
20200803_1535_blob_1157_,-0.395890943,0.542588324,-0.156579029,0.54500431,-0.10979063,0.731334141,-0.141047845,0.42364863,F6,6,6
20200803_1535_blob_116_,-0.635289604,0.757682905,-0.461526417,0.545710624,0.045981599,0.974473761,-0.239052051,0.437180975,F6,6,6
