Compound.Name,F1,F2,F3,F4,F5,F6,F7,F8,best_corr,cluster_assigned
20200803_1535_blob_1164_,-0.757788754,0.858486005,-0.014813601,0.359194487,0.487872034,-0.095527809,0.799356236,0.118631363,F2,2
20200803_1535_blob_1166_,-0.736931883,0.830318588,-0.113366752,0.621310666,0.181498331,0.03055828,0.610223067,0.188489021,F2,2
20200803_1535_blob_1184_,-0.665526831,0.77354807,-0.057694872,0.691739447,0.111675251,0.082085785,0.512604806,0.204687425,F2,2
20200803_1535_blob_1188_,-0.819488909,0.933885719,-0.061198238,0.506137304,0.575721135,-0.086928483,0.845185471,0.26598808,F2,2
20200803_1535_blob_1192_,-0.835928646,0.835669847,0.330049559,0.822477788,0.134139942,0.121937773,0.481097213,-0.227190867,F2,2
20200803_1535_blob_1193_,-0.760007781,0.712709731,0.130159684,0.563675593,0.070971411,0.033849932,0.439577002,-0.245905216,F2,2
20200803_1535_blob_1194_,-0.56518427,0.713877035,0.102488682,0.466767796,0.165461452,0.135378475,0.537535855,0.277798658,F2,2
20200803_1535_blob_1195_,-0.750511859,0.77774712,0.012955601,0.689686983,0.14463228,0.062248255,0.521431028,-0.050156997,F2,2
20200803_1535_blob_1203_,-0.781089814,0.728572059,0.120852861,0.522732781,0.409681998,-0.249419119,0.615926064,-0.132252243,F2,2
20200803_1535_blob_1217_,-0.908559096,0.945061178,0.07520927,0.630067266,0.448742471,-0.049269852,0.745156081,-0.000778808,F2,2
20200803_1535_blob_1219_,-0.885657509,0.984668426,0.037734975,0.673211344,0.422669604,0.025525424,0.787810989,0.138691322,F2,2
20200803_1535_blob_1239_,-0.804816086,0.91583128,-0.125688114,0.434512895,0.719785129,-0.17738862,0.91082187,0.251610321,F2,2
20200803_1535_blob_1241_,-0.789337465,0.853087177,0.076955102,0.668161047,0.278498713,0.013827446,0.605657549,0.028254143,F2,2
20200803_1535_blob_1243_,-0.759001074,0.860791788,0.126234232,0.547806921,0.379591918,-0.062618309,0.73629138,0.157536303,F2,2
20200803_1535_blob_1282_,-0.599277628,0.562398883,-0.064663402,0.442188099,0.120462707,-0.133577713,0.366357003,-0.118574632,F2,2
